GAME_ID,GAME_DATE_EST,TEAM_ID_home,PTS_home,SEASON,TEAM_ID_away,PTS_away
857793,2022-12-17,13,102,2022,30,93
857794,2022-12-17,6,100,2022,7,99
857795,2022-12-17,11,95,2022,25,107
857796,2022-12-17,17,123,2022,29,97
857797,2022-12-17,24,118,2022,19,114
857798,2022-12-17,21,115,2022,15,109
857799,2022-12-18,8,119,2022,4,115
857800,2022-12-18,18,150,2022,5,126
857801,2022-12-18,2,92,2022,22,95
857802,2022-12-18,28,110,2022,10,126
857803,2022-12-18,14,119,2022,30,117
857804,2022-12-18,12,106,2022,20,109
857805,2022-12-18,9,121,2022,3,124
857806,2022-12-19,26,119,2022,4,125
857807,2022-12-19,6,122,2022,29,99
857808,2022-12-19,11,105,2022,27,124
857809,2022-12-19,19,119,2022,17,128
857810,2022-12-19,1,126,2022,22,125
857811,2022-12-19,24,130,2022,14,104
857812,2022-12-19,21,123,2022,25,121
857813,2022-12-19,18,116,2022,7,106
857814,2022-12-19,23,104,2022,28,101
857815,2022-12-20,20,132,2022,10,94
857816,2022-12-20,9,111,2022,29,126
857817,2022-12-20,8,105,2022,15,91
857818,2022-12-20,16,103,2022,5,113
857819,2022-12-20,24,110,2022,30,113
857820,2022-12-21,21,101,2022,25,98
857821,2022-12-21,26,134,2022,14,120
857822,2022-12-21,6,114,2022,17,106
857823,2022-12-21,23,113,2022,9,93
857824,2022-12-21,1,108,2022,5,110
857825,2022-12-21,11,110,2022,22,116
857826,2022-12-21,18,99,2022,7,104
857827,2022-12-21,2,112,2022,12,117
857828,2022-12-21,3,143,2022,10,113
857829,2022-12-21,20,106,2022,28,113
857830,2022-12-21,13,126,2022,4,105
857831,2022-12-22,19,126,2022,27,117
857832,2022-12-22,29,120,2022,30,112
857833,2022-12-23,23,119,2022,13,114
857834,2022-12-23,21,125,2022,19,128
857835,2022-12-23,2,121,2022,18,109
857836,2022-12-23,22,133,2022,27,113
857837,2022-12-23,20,117,2022,5,118
857838,2022-12-23,11,106,2022,7,112
857839,2022-12-23,6,107,2022,28,118
857840,2022-12-23,16,108,2022,12,111
857841,2022-12-23,3,118,2022,17,100
857842,2022-12-23,1,130,2022,9,105
857843,2022-12-23,8,120,2022,25,107
857844,2022-12-23,24,100,2022,15,125
857845,2022-12-23,26,111,2022,30,125
857846,2022-12-23,14,130,2022,4,134
857847,2022-12-25,2,139,2022,17,118
857848,2022-12-25,10,123,2022,15,109
857849,2022-12-25,8,128,2022,24,125
857850,2022-12-25,20,112,2022,23,119
857851,2022-12-25,7,124,2022,14,115
857852,2022-12-26,5,118,2022,11,133
857853,2022-12-26,19,113,2022,12,93
857854,2022-12-26,25,124,2022,4,113
857855,2022-12-26,9,131,2022,13,142
857856,2022-12-26,27,126,2022,29,122
857857,2022-12-26,6,117,2022,3,125
857858,2022-12-26,16,113,2022,18,110
857859,2022-12-27,22,110,2022,14,129
857860,2022-12-27,2,126,2022,11,102
857861,2022-12-27,12,129,2022,1,114
857862,2022-12-27,30,116,2022,23,111
857863,2022-12-27,28,113,2022,13,124
857864,2022-12-27,21,130,2022,27,114
857865,2022-12-27,15,108,2022,24,125
857866,2022-12-27,26,106,2022,8,113
857867,2022-12-27,7,126,2022,20,121
857868,2022-12-27,10,110,2022,4,105
857869,2022-12-28,19,119,2022,18,118
857870,2022-12-28,5,119,2022,17,113
857871,2022-12-28,30,127,2022,24,102
857872,2022-12-28,16,112,2022,14,98
857873,2022-12-28,9,121,2022,22,101
857874,2022-12-28,26,127,2022,8,126
857875,2022-12-28,1,107,2022,3,108
857876,2022-12-28,10,112,2022,29,107
857877,2022-12-29,28,106,2022,15,119
