game_id,game_date,game_home_team,game_home_team_score,game_season,game_visitor_team,game_visitor_team_score
857627,2022-11-25,Hornets,110,2022,Timberwolves,108
857628,2022-11-25,Heat,110,2022,Wizards,107
857629,2022-11-25,Pacers,128,2022,Nets,117
857630,2022-11-25,Bucks,117,2022,Cavaliers,102
857631,2022-11-25,Knicks,129,2022,Trail Blazers,132
857632,2022-11-25,Rockets,128,2022,Hawks,122
857633,2022-11-25,Grizzlies,132,2022,Pelicans,111
857634,2022-11-25,Celtics,122,2022,Kings,104
857635,2022-11-25,Thunder,123,2022,Bulls,119
857636,2022-11-25,Suns,108,2022,Pistons,102
857637,2022-11-25,Warriors,129,2022,Jazz,118
857638,2022-11-25,Spurs,94,2022,Lakers,105
857639,2022-11-25,Clippers,104,2022,Nuggets,114
857640,2022-11-26,Suns,113,2022,Jazz,112
857641,2022-11-26,Rockets,118,2022,Thunder,105
857642,2022-11-26,Spurs,138,2022,Lakers,143
857643,2022-11-26,Raptors,105,2022,Mavericks,100
857644,2022-11-27,Hawks,98,2022,Heat,106
857645,2022-11-27,Clippers,114,2022,Pacers,100
857646,2022-11-27,Nets,111,2022,Trail Blazers,97
857647,2022-11-27,Knicks,123,2022,Grizzlies,127
857648,2022-11-27,Celtics,130,2022,Wizards,121
857649,2022-11-27,Magic,103,2022,76ers,133
857650,2022-11-27,Timberwolves,114,2022,Warriors,137
857651,2022-11-27,Bucks,124,2022,Mavericks,115
857652,2022-11-27,Pistons,94,2022,Cavaliers,102
857653,2022-11-28,Celtics,140,2022,Hornets,105
857654,2022-11-28,76ers,104,2022,Hawks,101
857655,2022-11-28,Wizards,142,2022,Timberwolves,127
857656,2022-11-28,Raptors,100,2022,Cavaliers,88
857657,2022-11-28,Nets,109,2022,Magic,102
857658,2022-11-28,Kings,117,2022,Suns,122
857659,2022-11-28,Jazz,107,2022,Bulls,114
857660,2022-11-28,Lakers,115,2022,Pacers,116
857661,2022-11-28,Pelicans,105,2022,Thunder,101
857662,2022-11-28,Nuggets,129,2022,Rockets,113
857663,2022-11-29,Trail Blazers,112,2022,Clippers,118
857664,2022-11-29,Mavericks,116,2022,Warriors,113
857665,2022-11-29,Pistons,110,2022,Knicks,140
857666,2022-11-30,Nets,113,2022,Wizards,107
857667,2022-11-30,Celtics,134,2022,Heat,121
857668,2022-11-30,Magic,108,2022,Hawks,125
857669,2022-11-30,Cavaliers,113,2022,76ers,85
857670,2022-11-30,Knicks,103,2022,Bucks,109
857671,2022-11-30,Thunder,119,2022,Spurs,111
857672,2022-11-30,Suns,132,2022,Bulls,113
857673,2022-11-30,Pelicans,126,2022,Raptors,108
857674,2022-11-30,Timberwolves,109,2022,Grizzlies,101
857675,2022-11-30,Nuggets,120,2022,Rockets,100
857676,2022-11-30,Kings,137,2022,Pacers,114
857677,2022-11-30,Jazz,125,2022,Clippers,112
857678,2022-11-30,Lakers,128,2022,Trail Blazers,109
857679,2022-12-01,Pistons,131,2022,Mavericks,125
857680,2022-12-02,Celtics,116,2022,Heat,120
857681,2022-12-02,Hawks,117,2022,Nuggets,109
857682,2022-12-02,Suns,121,2022,Rockets,122
857683,2022-12-02,Bucks,129,2022,Lakers,133
857684,2022-12-02,Spurs,99,2022,Pelicans,117
857685,2022-12-02,Nets,114,2022,Raptors,105
857686,2022-12-02,Hornets,117,2022,Wizards,116
857687,2022-12-02,Jazz,139,2022,Pacers,119
857688,2022-12-02,Grizzlies,117,2022,76ers,109
857689,2022-12-02,Cavaliers,107,2022,Magic,96
857690,2022-12-02,Warriors,119,2022,Bulls,111
857691,2022-12-03,Knicks,100,2022,Mavericks,121
857692,2022-12-03,Jazz,111,2022,Trail Blazers,116
857693,2022-12-03,Clippers,96,2022,Kings,123
857694,2022-12-03,Hornets,96,2022,Bucks,105
857695,2022-12-03,Timberwolves,128,2022,Thunder,135
857696,2022-12-03,Raptors,121,2022,Magic,108
857697,2022-12-03,Warriors,120,2022,Rockets,101
857698,2022-12-04,Kings,110,2022,Bulls,101
857699,2022-12-04,Spurs,95,2022,Suns,133
857700,2022-12-04,Pelicans,121,2022,Nuggets,106
857701,2022-12-04,Wizards,119,2022,Lakers,130
857702,2022-12-04,Nets,92,2022,Celtics,103
857703,2022-12-04,Pistons,112,2022,Grizzlies,122
